============================================================
EC Certifiers Batch Extractor
============================================================
Total ECs: 1477
Done: 0, Remaining: 1477
[1/1477] EC0001: 0 certifiers ✓
[2/1477] EC0002: 12 certifiers ✓
[3/1477] EC0004: 0 certifiers ✓
[4/1477] EC0007: 0 certifiers ✓
[5/1477] EC0008: 0 certifiers ✓
[6/1477] EC0009: 1 certifiers ✓
[7/1477] EC0010: 55 certifiers ✓
[8/1477] EC0011: 3 certifiers ✓
[9/1477] EC0012: 3 certifiers ✓
[10/1477] EC0013: 4 certifiers ✓
[11/1477] EC0015: 1 certifiers ✓
[12/1477] EC0016: 4 certifiers ✓
[13/1477] EC0017: 0 certifiers ✓
[14/1477] EC0018: 0 certifiers ✓
[15/1477] EC0019: 7 certifiers ✓
[16/1477] EC0020: 13 certifiers ✓
[17/1477] EC0023: 11 certifiers ✓
[18/1477] EC0025: 1 certifiers ✓
[19/1477] EC0028: 2 certifiers ✓
[20/1477] EC0030: 2 certifiers ✓
💾 Checkpoint | 4.3/min | ETA: 335 min
[21/1477] EC0031: 0 certifiers ✓
[22/1477] EC0036: 2 certifiers ✓
[23/1477] EC0038: 37 certifiers ✓
[24/1477] EC0042: 14 certifiers ✓
[25/1477] EC0043: 14 certifiers ✓
[26/1477] EC0044: 2 certifiers ✓
[27/1477] EC0045: 6 certifiers ✓
[28/1477] EC0046: 60 certifiers ✓
[29/1477] EC0047: 1 certifiers ✓
[30/1477] EC0049: 14 certifiers ✓
[31/1477] EC0050: 27 certifiers ✓
[32/1477] EC0051: 1 certifiers ✓
[33/1477] EC0052: 22 certifiers ✓
[34/1477] EC0053: 8 certifiers ✓
[35/1477] EC0054: 3 certifiers ✓
[36/1477] EC0056: 5 certifiers ✓
[37/1477] EC0058: 15 certifiers ✓
[38/1477] EC0059: 6 certifiers ✓
[39/1477] EC0060: 38 certifiers ✓
[40/1477] EC0061: 26 certifiers ✓
💾 Checkpoint | 4.3/min | ETA: 331 min
[41/1477] EC0062: 14 certifiers ✓
[42/1477] EC0063: 5 certifiers ✓
[43/1477] EC0065: 0 certifiers ✓
[44/1477] EC0067: 0 certifiers ✓
[45/1477] EC0068: 4 certifiers ✓
[46/1477] EC0069: 1 certifiers ✓
[47/1477] EC0070: 1 certifiers ✓
[48/1477] EC0072: 31 certifiers ✓
[49/1477] EC0074: 19 certifiers ✓
[50/1477] EC0076: 452 certifiers ✓
[51/1477] EC0079: 0 certifiers ✓
[52/1477] EC0081: 62 certifiers ✓
[53/1477] EC0083.01: 10 certifiers ✓
[54/1477] EC0084: 4 certifiers ✓
[55/1477] EC0087: 3 certifiers ✓
[56/1477] EC0089: 6 certifiers ✓
[57/1477] EC0091: 48 certifiers ✓
[58/1477] EC0093: 0 certifiers ✓
[59/1477] EC0094: 2 certifiers ✓
[60/1477] EC0095: 8 certifiers ✓
💾 Checkpoint | 4.3/min | ETA: 327 min
[61/1477] EC0096: 1 certifiers ✓
[62/1477] EC0098: 2 certifiers ✓
[63/1477] EC0105: 133 certifiers ✓
[64/1477] EC0107: 32 certifiers ✓
[65/1477] EC0108: 41 certifiers ✓
[66/1477] EC0109: 18 certifiers ✓
[67/1477] EC0110.02: 43 certifiers ✓
[68/1477] EC0112: 19 certifiers ✓
[69/1477] EC0113: 0 certifiers ✓
[70/1477] EC0114: 6 certifiers ✓
[71/1477] EC0116: 1 certifiers ✓
[72/1477] EC0118: 23 certifiers ✓
[73/1477] EC0120.01: 7 certifiers ✓
[74/1477] EC0121.01: 13 certifiers ✓
[75/1477] EC0126: 4 certifiers ✓
[76/1477] EC0127: 43 certifiers ✓
[77/1477] EC0128: 17 certifiers ✓
[78/1477] EC0129: 1 certifiers ✓
[79/1477] EC0130: 1 certifiers ✓
[80/1477] EC0135: 2 certifiers ✓
💾 Checkpoint | 4.3/min | ETA: 322 min
[81/1477] EC0136: 2 certifiers ✓
[82/1477] EC0137: 2 certifiers ✓
[83/1477] EC0138: 1 certifiers ✓
[84/1477] EC0140: 1 certifiers ✓
[85/1477] EC0141: 1 certifiers ✓
[86/1477] EC0143: 4 certifiers ✓
[87/1477] EC0145: 7 certifiers ✓
[88/1477] EC0146: 10 certifiers ✓
[89/1477] EC0147: 0 certifiers ✓
[90/1477] EC0149: 3 certifiers ✓
[91/1477] EC0150: 1 certifiers ✓
[92/1477] EC0153: 4 certifiers ✓
[93/1477] EC0154: 13 certifiers ✓
[94/1477] EC0155: 0 certifiers ✓
[95/1477] EC0156: 5 certifiers ✓
[96/1477] EC0157: 3 certifiers ✓
[97/1477] EC0160: 5 certifiers ✓
[98/1477] EC0162: 1 certifiers ✓
[99/1477] EC0174: 0 certifiers ✓
[100/1477] EC0175: 0 certifiers ✓
💾 Checkpoint | 4.3/min | ETA: 318 min
[101/1477] EC0176: 8 certifiers ✓
[102/1477] EC0179: 1 certifiers ✓
[103/1477] EC0180: 8 certifiers ✓
[104/1477] EC0182: 7 certifiers ✓
[105/1477] EC0183: 2 certifiers ✓
[106/1477] EC0184: 2 certifiers ✓
[107/1477] EC0185: 15 certifiers ✓
[108/1477] EC0186: 8 certifiers ✓
[109/1477] EC0189: 1 certifiers ✓
[110/1477] EC0190: 2 certifiers ✓
[111/1477] EC0192: 0 certifiers ✓
[112/1477] EC0193: 12 certifiers ✓
[113/1477] EC0195: 0 certifiers ✓
[114/1477] EC0196: 1 certifiers ✓
[115/1477] EC0197: 0 certifiers ✓
[116/1477] EC0200: 17 certifiers ✓
[117/1477] EC0201: 9 certifiers ✓
[118/1477] EC0202: 3 certifiers ✓
[119/1477] EC0203: 2 certifiers ✓
[120/1477] EC0204: 46 certifiers ✓
💾 Checkpoint | 4.3/min | ETA: 313 min
[121/1477] EC0205: 11 certifiers ✓
[122/1477] EC0206: 3 certifiers ✓
[123/1477] EC0208: 1 certifiers ✓
[124/1477] EC0209: 0 certifiers ✓
[125/1477] EC0210: 1 certifiers ✓
[126/1477] EC0211: 16 certifiers ✓
[127/1477] EC0213: 22 certifiers ✓
[128/1477] EC0214: 3 certifiers ✓
[129/1477] EC0215: 9 certifiers ✓
[130/1477] EC0216: 3 certifiers ✓
[131/1477] EC0217.01: 371 certifiers ✓
[132/1477] EC0218: 2 certifiers ✓
[133/1477] EC0219.01: 6 certifiers ✓
[134/1477] EC0220: 0 certifiers ✓
[135/1477] EC0222: 0 certifiers ✓
[136/1477] EC0224: 0 certifiers ✓
[137/1477] EC0225: 0 certifiers ✓
[138/1477] EC0227: 1 certifiers ✓
[139/1477] EC0228: 0 certifiers ✓
[140/1477] EC0231: 1 certifiers ✓
💾 Checkpoint | 4.3/min | ETA: 308 min
[141/1477] EC0232: 3 certifiers ✓
[142/1477] EC0233: 0 certifiers ✓
[143/1477] EC0234: 16 certifiers ✓
[144/1477] EC0235: 1 certifiers ✓
[145/1477] EC0237: 1 certifiers ✓
[146/1477] EC0241: 15 certifiers ✓
[147/1477] EC0244: 1 certifiers ✓
[148/1477] EC0246: 6 certifiers ✓
[149/1477] EC0247: 11 certifiers ✓
[150/1477] EC0248: 12 certifiers ✓
[151/1477] EC0249: 37 certifiers ✓
[152/1477] EC0252: 1 certifiers ✓
[153/1477] EC0253: 1 certifiers ✓
[154/1477] EC0254: 3 certifiers ✓
[155/1477] EC0255: 1 certifiers ✓
[156/1477] EC0258: 2 certifiers ✓
[157/1477] EC0259: 0 certifiers ✓
[158/1477] EC0262: 0 certifiers ✓
[159/1477] EC0263: 1 certifiers ✓
[160/1477] EC0264: 10 certifiers ✓
💾 Checkpoint | 4.3/min | ETA: 303 min
[161/1477] EC0271: 1 certifiers ✓
[162/1477] EC0272: 1 certifiers ✓
[163/1477] EC0274: 0 certifiers ✓
[164/1477] EC0275: 0 certifiers ✓
[165/1477] EC0277.01: 5 certifiers ✓
[166/1477] EC0281.01: 1 certifiers ✓
[167/1477] EC0282.01: 5 certifiers ✓
[168/1477] EC0283.01: 3 certifiers ✓
[169/1477] EC0285: 13 certifiers ✓
[170/1477] EC0288: 16 certifiers ✓
[171/1477] EC0290: 3 certifiers ✓
[172/1477] EC0291: 1 certifiers ✓
[173/1477] EC0292: 0 certifiers ✓
[174/1477] EC0293: 5 certifiers ✓
[175/1477] EC0294: 0 certifiers ✓
[176/1477] EC0295: 0 certifiers ✓
[177/1477] EC0296: 1 certifiers ✓
[178/1477] EC0298: 1 certifiers ✓
[179/1477] EC0299: 0 certifiers ✓
[180/1477] EC0301: 218 certifiers ✓
💾 Checkpoint | 4.3/min | ETA: 298 min
[181/1477] EC0302: 0 certifiers ✓
[182/1477] EC0303: 14 certifiers ✓
[183/1477] EC0304: 26 certifiers ✓
[184/1477] EC0305: 84 certifiers ✓
[185/1477] EC0306: 12 certifiers ✓
[186/1477] EC0307.01: 56 certifiers ✓
[187/1477] EC0308: 25 certifiers ✓
[188/1477] EC0309: 0 certifiers ✓
[189/1477] EC0310: 0 certifiers ✓
[190/1477] EC0311: 1 certifiers ✓
[191/1477] EC0312: 0 certifiers ✓
[192/1477] EC0313: 4 certifiers ✓
[193/1477] EC0314: 4 certifiers ✓
[194/1477] EC0315: 4 certifiers ✓
[195/1477] EC0316: 1 certifiers ✓
[196/1477] EC0317: 1 certifiers ✓
[197/1477] EC0318: 2 certifiers ✓
[198/1477] EC0319: 4 certifiers ✓
[199/1477] EC0320: 5 certifiers ✓
[200/1477] EC0322: 2 certifiers ✓
💾 Checkpoint | 4.3/min | ETA: 294 min
[201/1477] EC0324: 2 certifiers ✓
[202/1477] EC0325: 3 certifiers ✓
[203/1477] EC0326: 1 certifiers ✓
[204/1477] EC0327: 0 certifiers ✓
[205/1477] EC0329: 14 certifiers ✓
[206/1477] EC0330: 2 certifiers ✓
